loss -> tensor(0.7821, grad_fn=<AddBackward0>)
loss -> tensor(1.1941, grad_fn=<AddBackward0>)
loss -> tensor(1.152, grad_fn=<AddBackward0>)
loss -> tensor(0.6126, grad_fn=<AddBackward0>)
loss -> tensor(0.7644, grad_fn=<AddBackward0>)
loss -> tensor(0.6659, grad_fn=<AddBackward0>)
loss -> tensor(1.2853, grad_fn=<AddBackward0>)
loss -> tensor(1.2252, grad_fn=<AddBackward0>)
loss -> tensor(0.6241, grad_fn=<AddBackward0>)
loss -> tensor(1.1188, grad_fn=<AddBackward0>)
loss -> tensor(0.9669, grad_fn=<AddBackward0>)
loss -> tensor(0.9236, grad_fn=<AddBackward0>)
loss -> tensor(0.8419, grad_fn=<AddBackward0>)
loss -> tensor(0.8385, grad_fn=<AddBackward0>)
loss -> tensor(0.8907, grad_fn=<AddBackward0>)
loss -> tensor(1.0558, grad_fn=<AddBackward0>)
loss -> tensor(0.6413, grad_fn=<AddBackward0>)
loss -> tensor(0.6401, grad_fn=<AddBackward0>)
loss -> tensor(0.8509, grad_fn=<AddBackward0>)
loss -> tensor(1.2812, grad_fn=<AddBackward0>)
loss -> tensor(1.1016, grad_fn=<AddBackward0>)
loss -> tensor(0.8705, grad_fn=<AddBackward0>)
loss -> tensor(0.644, grad_fn=<AddBackward0>)
loss -> tensor(1.1216, grad_fn=<AddBackward0>)
loss -> tensor(0.6669, grad_fn=<AddBackward0>)
loss -> tensor(1.0369, grad_fn=<AddBackward0>)
loss -> tensor(0.873, grad_fn=<AddBackward0>)
loss -> tensor(0.7325, grad_fn=<AddBackward0>)
loss -> tensor(1.2177, grad_fn=<AddBackward0>)
loss -> tensor(1.2699, grad_fn=<AddBackward0>)
loss -> tensor(0.9662, grad_fn=<AddBackward0>)
loss -> tensor(0.7268, grad_fn=<AddBackward0>)
loss -> tensor(1.1803, grad_fn=<AddBackward0>)
loss -> tensor(1.2421, grad_fn=<AddBackward0>)
loss -> tensor(0.6844, grad_fn=<AddBackward0>)
loss -> tensor(1.0327, grad_fn=<AddBackward0>)
loss -> tensor(0.8372, grad_fn=<AddBackward0>)
loss -> tensor(0.9039, grad_fn=<AddBackward0>)
loss -> tensor(0.8612, grad_fn=<AddBackward0>)
loss -> tensor(0.998, grad_fn=<AddBackward0>)
loss -> tensor(1.064, grad_fn=<AddBackward0>)
loss -> tensor(0.692, grad_fn=<AddBackward0>)
loss -> tensor(1.2114, grad_fn=<AddBackward0>)
loss -> tensor(1.1694, grad_fn=<AddBackward0>)
loss -> tensor(1.0119, grad_fn=<AddBackward0>)
loss -> tensor(1.0803, grad_fn=<AddBackward0>)
loss -> tensor(1.1872, grad_fn=<AddBackward0>)
loss -> tensor(0.8991, grad_fn=<AddBackward0>)
loss -> tensor(0.7896, grad_fn=<AddBackward0>)
loss -> tensor(1.2354, grad_fn=<AddBackward0>)
loss -> tensor(0.8345, grad_fn=<AddBackward0>)
loss -> tensor(1.2881, grad_fn=<AddBackward0>)
loss -> tensor(0.7903, grad_fn=<AddBackward0>)
loss -> tensor(0.9349, grad_fn=<AddBackward0>)
loss -> tensor(1.2299, grad_fn=<AddBackward0>)
loss -> tensor(1.013, grad_fn=<AddBackward0>)
loss -> tensor(0.9561, grad_fn=<AddBackward0>)
loss -> tensor(0.7959, grad_fn=<AddBackward0>)
loss -> tensor(0.7482, grad_fn=<AddBackward0>)
loss -> tensor(0.9995, grad_fn=<AddBackward0>)
loss -> tensor(1.2833, grad_fn=<AddBackward0>)
loss -> tensor(0.9022, grad_fn=<AddBackward0>)
loss -> tensor(1.0307, grad_fn=<AddBackward0>)
loss -> tensor(1.0503, grad_fn=<AddBackward0>)
loss -> tensor(1.2771, grad_fn=<AddBackward0>)
loss -> tensor(1.1579, grad_fn=<AddBackward0>)
loss -> tensor(1.0796, grad_fn=<AddBackward0>)
loss -> tensor(0.8864, grad_fn=<AddBackward0>)
loss -> tensor(0.9779, grad_fn=<AddBackward0>)
loss -> tensor(1.2478, grad_fn=<AddBackward0>)
loss -> tensor(1.0965, grad_fn=<AddBackward0>)
loss -> tensor(0.7373, grad_fn=<AddBackward0>)
loss -> tensor(1.1236, grad_fn=<AddBackward0>)
loss -> tensor(1.1671, grad_fn=<AddBackward0>)
loss -> tensor(0.7883, grad_fn=<AddBackward0>)
loss -> tensor(1.155, grad_fn=<AddBackward0>)
loss -> tensor(1.1863, grad_fn=<AddBackward0>)
loss -> tensor(0.7076, grad_fn=<AddBackward0>)
loss -> tensor(0.7579, grad_fn=<AddBackward0>)
loss -> tensor(0.6645, grad_fn=<AddBackward0>)
loss -> tensor(0.839, grad_fn=<AddBackward0>)
loss -> tensor(0.6263, grad_fn=<AddBackward0>)
loss -> tensor(0.6827, grad_fn=<AddBackward0>)
loss -> tensor(1.0175, grad_fn=<AddBackward0>)
loss -> tensor(1.0216, grad_fn=<AddBackward0>)
loss -> tensor(1.1658, grad_fn=<AddBackward0>)
loss -> tensor(0.8496, grad_fn=<AddBackward0>)
loss -> tensor(1.0505, grad_fn=<AddBackward0>)
loss -> tensor(0.8768, grad_fn=<AddBackward0>)
loss -> tensor(0.9458, grad_fn=<AddBackward0>)
loss -> tensor(1.0101, grad_fn=<AddBackward0>)
loss -> tensor(0.8139, grad_fn=<AddBackward0>)
loss -> tensor(0.6644, grad_fn=<AddBackward0>)
loss -> tensor(1.0139, grad_fn=<AddBackward0>)
loss -> tensor(0.8992, grad_fn=<AddBackward0>)
loss -> tensor(0.812, grad_fn=<AddBackward0>)
loss -> tensor(1.1355, grad_fn=<AddBackward0>)
loss -> tensor(0.8625, grad_fn=<AddBackward0>)
loss -> tensor(1.2184, grad_fn=<AddBackward0>)
loss -> tensor(0.7932, grad_fn=<AddBackward0>)
loss -> tensor(0.9259, grad_fn=<AddBackward0>)
loss -> tensor(1.1641, grad_fn=<AddBackward0>)
loss -> tensor(0.8935, grad_fn=<AddBackward0>)
loss -> tensor(0.9186, grad_fn=<AddBackward0>)
loss -> tensor(0.8277, grad_fn=<AddBackward0>)
loss -> tensor(1.2185, grad_fn=<AddBackward0>)
loss -> tensor(0.9054, grad_fn=<AddBackward0>)
loss -> tensor(0.8523, grad_fn=<AddBackward0>)
loss -> tensor(0.7591, grad_fn=<AddBackward0>)
loss -> tensor(0.6201, grad_fn=<AddBackward0>)
loss -> tensor(0.973, grad_fn=<AddBackward0>)
loss -> tensor(0.7577, grad_fn=<AddBackward0>)
loss -> tensor(1.2165, grad_fn=<AddBackward0>)
loss -> tensor(1.2257, grad_fn=<AddBackward0>)
loss -> tensor(0.7614, grad_fn=<AddBackward0>)
loss -> tensor(0.903, grad_fn=<AddBackward0>)
loss -> tensor(1.1539, grad_fn=<AddBackward0>)
loss -> tensor(1.0341, grad_fn=<AddBackward0>)
loss -> tensor(1.1699, grad_fn=<AddBackward0>)
loss -> tensor(0.8889, grad_fn=<AddBackward0>)
loss -> tensor(0.7526, grad_fn=<AddBackward0>)
loss -> tensor(1.0722, grad_fn=<AddBackward0>)
loss -> tensor(1.2624, grad_fn=<AddBackward0>)
loss -> tensor(1.1623, grad_fn=<AddBackward0>)
loss -> tensor(0.7738, grad_fn=<AddBackward0>)
loss -> tensor(0.7067, grad_fn=<AddBackward0>)
loss -> tensor(1.1502, grad_fn=<AddBackward0>)
loss -> tensor(0.8677, grad_fn=<AddBackward0>)
loss -> tensor(0.6133, grad_fn=<AddBackward0>)
loss -> tensor(1.1415, grad_fn=<AddBackward0>)
loss -> tensor(1.0236, grad_fn=<AddBackward0>)
loss -> tensor(1.1518, grad_fn=<AddBackward0>)
loss -> tensor(0.7608, grad_fn=<AddBackward0>)
loss -> tensor(0.8671, grad_fn=<AddBackward0>)
loss -> tensor(1.0749, grad_fn=<AddBackward0>)
loss -> tensor(1.2767, grad_fn=<AddBackward0>)
loss -> tensor(0.9862, grad_fn=<AddBackward0>)
loss -> tensor(1.2242, grad_fn=<AddBackward0>)
loss -> tensor(0.981, grad_fn=<AddBackward0>)
loss -> tensor(1.0816, grad_fn=<AddBackward0>)
loss -> tensor(0.9745, grad_fn=<AddBackward0>)
loss -> tensor(1.2505, grad_fn=<AddBackward0>)
loss -> tensor(1.1367, grad_fn=<AddBackward0>)
loss -> tensor(0.7055, grad_fn=<AddBackward0>)
loss -> tensor(1.029, grad_fn=<AddBackward0>)
loss -> tensor(0.6335, grad_fn=<AddBackward0>)
loss -> tensor(0.9725, grad_fn=<AddBackward0>)
loss -> tensor(1.2603, grad_fn=<AddBackward0>)
loss -> tensor(1.2895, grad_fn=<AddBackward0>)
loss -> tensor(1.053, grad_fn=<AddBackward0>)
loss -> tensor(1.2822, grad_fn=<AddBackward0>)
loss -> tensor(0.7798, grad_fn=<AddBackward0>)
loss -> tensor(1.195, grad_fn=<AddBackward0>)
loss -> tensor(0.9029, grad_fn=<AddBackward0>)
loss -> tensor(1.0091, grad_fn=<AddBackward0>)
loss -> tensor(0.7606, grad_fn=<AddBackward0>)
loss -> tensor(1.2173, grad_fn=<AddBackward0>)
loss -> tensor(0.8074, grad_fn=<AddBackward0>)
loss -> tensor(0.6203, grad_fn=<AddBackward0>)
loss -> tensor(1.0773, grad_fn=<AddBackward0>)
loss -> tensor(1.0562, grad_fn=<AddBackward0>)
loss -> tensor(0.8413, grad_fn=<AddBackward0>)
loss -> tensor(0.9779, grad_fn=<AddBackward0>)
loss -> tensor(0.6156, grad_fn=<AddBackward0>)
loss -> tensor(1.2338, grad_fn=<AddBackward0>)
loss -> tensor(1.1775, grad_fn=<AddBackward0>)
loss -> tensor(0.7091, grad_fn=<AddBackward0>)
loss -> tensor(1.2003, grad_fn=<AddBackward0>)
loss -> tensor(0.7008, grad_fn=<AddBackward0>)
loss -> tensor(0.8535, grad_fn=<AddBackward0>)
loss -> tensor(1.0825, grad_fn=<AddBackward0>)
loss -> tensor(0.7389, grad_fn=<AddBackward0>)
loss -> tensor(0.6819, grad_fn=<AddBackward0>)
loss -> tensor(1.0713, grad_fn=<AddBackward0>)
loss -> tensor(1.1953, grad_fn=<AddBackward0>)
loss -> tensor(0.825, grad_fn=<AddBackward0>)
loss -> tensor(0.6801, grad_fn=<AddBackward0>)
loss -> tensor(0.6409, grad_fn=<AddBackward0>)
loss -> tensor(1.1301, grad_fn=<AddBackward0>)
loss -> tensor(0.8505, grad_fn=<AddBackward0>)
loss -> tensor(0.628, grad_fn=<AddBackward0>)
loss -> tensor(0.8922, grad_fn=<AddBackward0>)
loss -> tensor(1.2611, grad_fn=<AddBackward0>)
loss -> tensor(0.7483, grad_fn=<AddBackward0>)
loss -> tensor(0.6755, grad_fn=<AddBackward0>)
loss -> tensor(1.1271, grad_fn=<AddBackward0>)
loss -> tensor(0.6625, grad_fn=<AddBackward0>)
loss -> tensor(0.9963, grad_fn=<AddBackward0>)
loss -> tensor(1.1105, grad_fn=<AddBackward0>)
loss -> tensor(1.2003, grad_fn=<AddBackward0>)
loss -> tensor(0.677, grad_fn=<AddBackward0>)
loss -> tensor(1.1272, grad_fn=<AddBackward0>)
loss -> tensor(0.8108, grad_fn=<AddBackward0>)
loss -> tensor(1.2979, grad_fn=<AddBackward0>)
loss -> tensor(1.1554, grad_fn=<AddBackward0>)
loss -> tensor(1.0753, grad_fn=<AddBackward0>)
loss -> tensor(0.7833, grad_fn=<AddBackward0>)
loss -> tensor(0.6865, grad_fn=<AddBackward0>)
loss -> tensor(0.7638, grad_fn=<AddBackward0>)
loss -> tensor(0.7076, grad_fn=<AddBackward0>)
loss -> tensor(0.7627, grad_fn=<AddBackward0>)
loss -> tensor(0.8565, grad_fn=<AddBackward0>)
loss -> tensor(0.7256, grad_fn=<AddBackward0>)
loss -> tensor(0.7354, grad_fn=<AddBackward0>)
loss -> tensor(0.7042, grad_fn=<AddBackward0>)
loss -> tensor(1.2949, grad_fn=<AddBackward0>)
loss -> tensor(0.8974, grad_fn=<AddBackward0>)
loss -> tensor(0.6208, grad_fn=<AddBackward0>)
loss -> tensor(1.0313, grad_fn=<AddBackward0>)
loss -> tensor(0.7239, grad_fn=<AddBackward0>)
loss -> tensor(0.8049, grad_fn=<AddBackward0>)
loss -> tensor(0.9212, grad_fn=<AddBackward0>)
loss -> tensor(0.8529, grad_fn=<AddBackward0>)
loss -> tensor(0.8596, grad_fn=<AddBackward0>)
loss -> tensor(1.1971, grad_fn=<AddBackward0>)
loss -> tensor(1.1056, grad_fn=<AddBackward0>)
loss -> tensor(0.8897, grad_fn=<AddBackward0>)
loss -> tensor(0.9883, grad_fn=<AddBackward0>)
loss -> tensor(1.0449, grad_fn=<AddBackward0>)
loss -> tensor(0.9473, grad_fn=<AddBackward0>)
loss -> tensor(1.2018, grad_fn=<AddBackward0>)
loss -> tensor(0.6209, grad_fn=<AddBackward0>)
loss -> tensor(0.9651, grad_fn=<AddBackward0>)
loss -> tensor(0.8785, grad_fn=<AddBackward0>)
loss -> tensor(1.1416, grad_fn=<AddBackward0>)
loss -> tensor(0.7363, grad_fn=<AddBackward0>)
loss -> tensor(1.2839, grad_fn=<AddBackward0>)
loss -> tensor(1.0546, grad_fn=<AddBackward0>)
loss -> tensor(0.7035, grad_fn=<AddBackward0>)
loss -> tensor(0.9864, grad_fn=<AddBackward0>)
loss -> tensor(1.0284, grad_fn=<AddBackward0>)
loss -> tensor(1.2851, grad_fn=<AddBackward0>)
loss -> tensor(1.1476, grad_fn=<AddBackward0>)
loss -> tensor(0.6771, grad_fn=<AddBackward0>)
loss -> tensor(0.772, grad_fn=<AddBackward0>)
loss -> tensor(1.1768, grad_fn=<AddBackward0>)
